mode,voltage_v,power_w,current_a,shunt_uv,current_error_percent,voltage_error_percent,output_burden_w,power_error_percent,target_percent,within_allocation
logging_1s,15.0,1.0,0.06666666666666667,333.3333333333333,1.421905969181919,0.15365104166666668,0.00043125,1.6209330461934708,5,True
logging_1s,15.0,5.0,0.3333333333333333,1666.6666666666665,0.5423811938363837,0.15365104166666668,0.00043125,0.7055038622595217,1,True
logging_1s,15.0,135.0,9.0,45000.0,0.33064374791986606,0.15365104166666668,0.00043125,0.48512276242358293,1,True
logging_1s,20.0,0.5,0.025,125.0,3.174438758553029,0.14836328125,0.0007000000000000001,3.4677194499002493,5,True
logging_1s,20.0,1.0,0.05,250.0,1.7484693792765145,0.14836328125,0.0007000000000000001,1.969530601366141,5,True
logging_1s,20.0,5.0,0.25,1250.0,0.6076938758553029,0.14836328125,0.0007000000000000001,0.7709795225388679,1,True
logging_1s,20.0,180.0,9.0,45000.0,0.33042205210709175,0.14836328125,0.0007000000000000001,0.47966502421279006,1,True
logging_1s,28.0,0.5,0.017857142857142856,89.28571428571429,4.1364387585530284,0.1438309151785714,0.0012599999999999998,4.538581605360091,5,True
logging_1s,28.0,1.0,0.03571428571428571,178.57142857142858,2.2294693792765146,0.1438309151785714,0.0012599999999999998,2.502688187620038,5,True
logging_1s,28.0,5.0,0.17857142857142858,892.8571428571429,0.7038938758553028,0.1438309151785714,0.0012599999999999998,0.8739734534280228,1,True
logging_1s,28.0,252.0,9.0,45000.0,0.33006733880665284,0.1438309151785714,0.0012599999999999998,0.47487371201390466,1,True
